POS	Code	Case	Code	Number	Code	Genre	Code	Degre	Code	Mode	Code	Temps	Code	Voix	Code	Personne	Code	Morph	Empty
Verbe	VER	Locatif	Loc	Singulier	Sing	Féminin	Fem			Participe	Par	Parfait	Perf	Déponent	Dep				
Verbe	VER	Nominatif	Nom	Pluriel	Plur	Féminin	Fem			Participe	Par	Parfait	Perf	Déponent	Dep				
Verbe	VER	Vocatif	Voc	Pluriel	Plur	Féminin	Fem			Participe	Par	Parfait	Perf	Déponent	Dep				
Verbe	VER	Accusatif	Acc	Pluriel	Plur	Féminin	Fem			Participe	Par	Parfait	Perf	Déponent	Dep				
Verbe	VER	Génitif	Gen	Pluriel	Plur	Féminin	Fem			Participe	Par	Parfait	Perf	Déponent	Dep				
Verbe	VER	Datif	Dat	Pluriel	Plur	Féminin	Fem			Participe	Par	Parfait	Perf	Déponent	Dep				
Verbe	VER	Ablatif	Abl	Pluriel	Plur	Féminin	Fem			Participe	Par	Parfait	Perf	Déponent	Dep				
Verbe	VER	Locatif	Loc	Pluriel	Plur	Féminin	Fem			Participe	Par	Parfait	Perf	Déponent	Dep				
Verbe	VER	Nominatif	Nom	Singulier	Sing	Masculin Féminin	MascFem			Participe	Par	Parfait	Perf	Déponent	Dep				
Verbe	VER	Vocatif	Voc	Singulier	Sing	Masculin Féminin	MascFem			Participe	Par	Parfait	Perf	Déponent	Dep				
Verbe	VER	Accusatif	Acc	Singulier	Sing	Masculin Féminin	MascFem			Participe	Par	Parfait	Perf	Déponent	Dep				
Verbe	VER	Génitif	Gen	Singulier	Sing	Masculin Féminin	MascFem			Participe	Par	Parfait	Perf	Déponent	Dep				
Verbe	VER	Datif	Dat	Singulier	Sing	Masculin Féminin	MascFem			Participe	Par	Parfait	Perf	Déponent	Dep				
Verbe	VER	Ablatif	Abl	Singulier	Sing	Masculin Féminin	MascFem			Participe	Par	Parfait	Perf	Déponent	Dep				
Verbe	VER	Locatif	Loc	Singulier	Sing	Masculin Féminin	MascFem			Participe	Par	Parfait	Perf	Déponent	Dep				
Verbe	VER	Nominatif	Nom	Pluriel	Plur	Masculin Féminin	MascFem			Participe	Par	Parfait	Perf	Déponent	Dep				
Verbe	VER	Vocatif	Voc	Pluriel	Plur	Masculin Féminin	MascFem			Participe	Par	Parfait	Perf	Déponent	Dep				
Verbe	VER	Accusatif	Acc	Pluriel	Plur	Masculin Féminin	MascFem			Participe	Par	Parfait	Perf	Déponent	Dep				
Verbe	VER	Génitif	Gen	Pluriel	Plur	Masculin Féminin	MascFem			Participe	Par	Parfait	Perf	Déponent	Dep				
Verbe	VER	Datif	Dat	Pluriel	Plur	Masculin Féminin	MascFem			Participe	Par	Parfait	Perf	Déponent	Dep				
Verbe	VER	Ablatif	Abl	Pluriel	Plur	Masculin Féminin	MascFem			Participe	Par	Parfait	Perf	Déponent	Dep				
Verbe	VER	Locatif	Loc	Pluriel	Plur	Masculin Féminin	MascFem			Participe	Par	Parfait	Perf	Déponent	Dep				
Verbe	VER	Nominatif	Nom	Singulier	Sing	Masculin	Masc			Participe	Par	Parfait	Perf	Déponent	Dep				
Verbe	VER	Vocatif	Voc	Singulier	Sing	Masculin	Masc			Participe	Par	Parfait	Perf	Déponent	Dep				
Verbe	VER	Accusatif	Acc	Singulier	Sing	Masculin	Masc			Participe	Par	Parfait	Perf	Déponent	Dep				
Verbe	VER	Génitif	Gen	Singulier	Sing	Masculin	Masc			Participe	Par	Parfait	Perf	Déponent	Dep				
Verbe	VER	Datif	Dat	Singulier	Sing	Masculin	Masc			Participe	Par	Parfait	Perf	Déponent	Dep				
Verbe	VER	Ablatif	Abl	Singulier	Sing	Masculin	Masc			Participe	Par	Parfait	Perf	Déponent	Dep				
Verbe	VER	Locatif	Loc	Singulier	Sing	Masculin	Masc			Participe	Par	Parfait	Perf	Déponent	Dep				
Verbe	VER	Nominatif	Nom	Pluriel	Plur	Masculin	Masc			Participe	Par	Parfait	Perf	Déponent	Dep				
Verbe	VER	Vocatif	Voc	Pluriel	Plur	Masculin	Masc			Participe	Par	Parfait	Perf	Déponent	Dep				
Verbe	VER	Accusatif	Acc	Pluriel	Plur	Masculin	Masc			Participe	Par	Parfait	Perf	Déponent	Dep				
Verbe	VER	Génitif	Gen	Pluriel	Plur	Masculin	Masc			Participe	Par	Parfait	Perf	Déponent	Dep				
Verbe	VER	Datif	Dat	Pluriel	Plur	Masculin	Masc			Participe	Par	Parfait	Perf	Déponent	Dep				
Verbe	VER	Ablatif	Abl	Pluriel	Plur	Masculin	Masc			Participe	Par	Parfait	Perf	Déponent	Dep				
Verbe	VER	Locatif	Loc	Pluriel	Plur	Masculin	Masc			Participe	Par	Parfait	Perf	Déponent	Dep				
Verbe	VER	Nominatif	Nom	Singulier	Sing	Masculin Neutre	MascNeut			Participe	Par	Parfait	Perf	Déponent	Dep				
Verbe	VER	Vocatif	Voc	Singulier	Sing	Masculin Neutre	MascNeut			Participe	Par	Parfait	Perf	Déponent	Dep				
Verbe	VER	Accusatif	Acc	Singulier	Sing	Masculin Neutre	MascNeut			Participe	Par	Parfait	Perf	Déponent	Dep				
Verbe	VER	Génitif	Gen	Singulier	Sing	Masculin Neutre	MascNeut			Participe	Par	Parfait	Perf	Déponent	Dep				
Verbe	VER	Datif	Dat	Singulier	Sing	Masculin Neutre	MascNeut			Participe	Par	Parfait	Perf	Déponent	Dep				
Verbe	VER	Ablatif	Abl	Singulier	Sing	Masculin Neutre	MascNeut			Participe	Par	Parfait	Perf	Déponent	Dep				
Verbe	VER	Locatif	Loc	Singulier	Sing	Masculin Neutre	MascNeut			Participe	Par	Parfait	Perf	Déponent	Dep				
Verbe	VER	Nominatif	Nom	Pluriel	Plur	Masculin Neutre	MascNeut			Participe	Par	Parfait	Perf	Déponent	Dep				
Verbe	VER	Vocatif	Voc	Pluriel	Plur	Masculin Neutre	MascNeut			Participe	Par	Parfait	Perf	Déponent	Dep				
Verbe	VER	Accusatif	Acc	Pluriel	Plur	Masculin Neutre	MascNeut			Participe	Par	Parfait	Perf	Déponent	Dep				
Verbe	VER	Génitif	Gen	Pluriel	Plur	Masculin Neutre	MascNeut			Participe	Par	Parfait	Perf	Déponent	Dep				
Verbe	VER	Datif	Dat	Pluriel	Plur	Masculin Neutre	MascNeut			Participe	Par	Parfait	Perf	Déponent	Dep				
Verbe	VER	Ablatif	Abl	Pluriel	Plur	Masculin Neutre	MascNeut			Participe	Par	Parfait	Perf	Déponent	Dep				
Verbe	VER	Locatif	Loc	Pluriel	Plur	Masculin Neutre	MascNeut			Participe	Par	Parfait	Perf	Déponent	Dep				
Verbe	VER	Nominatif	Nom	Singulier	Sing	Neutre	Neut			Participe	Par	Parfait	Perf	Déponent	Dep				
Verbe	VER	Vocatif	Voc	Singulier	Sing	Neutre	Neut			Participe	Par	Parfait	Perf	Déponent	Dep				
Verbe	VER	Accusatif	Acc	Singulier	Sing	Neutre	Neut			Participe	Par	Parfait	Perf	Déponent	Dep				
Verbe	VER	Génitif	Gen	Singulier	Sing	Neutre	Neut			Participe	Par	Parfait	Perf	Déponent	Dep				
Verbe	VER	Datif	Dat	Singulier	Sing	Neutre	Neut			Participe	Par	Parfait	Perf	Déponent	Dep				
Verbe	VER	Ablatif	Abl	Singulier	Sing	Neutre	Neut			Participe	Par	Parfait	Perf	Déponent	Dep				
Verbe	VER	Locatif	Loc	Singulier	Sing	Neutre	Neut			Participe	Par	Parfait	Perf	Déponent	Dep				
Verbe	VER	Nominatif	Nom	Pluriel	Plur	Neutre	Neut			Participe	Par	Parfait	Perf	Déponent	Dep				
Verbe	VER	Vocatif	Voc	Pluriel	Plur	Neutre	Neut			Participe	Par	Parfait	Perf	Déponent	Dep				
Verbe	VER	Accusatif	Acc	Pluriel	Plur	Neutre	Neut			Participe	Par	Parfait	Perf	Déponent	Dep				
Verbe	VER	Génitif	Gen	Pluriel	Plur	Neutre	Neut			Participe	Par	Parfait	Perf	Déponent	Dep				
Verbe	VER	Datif	Dat	Pluriel	Plur	Neutre	Neut			Participe	Par	Parfait	Perf	Déponent	Dep				
Verbe	VER	Ablatif	Abl	Pluriel	Plur	Neutre	Neut			Participe	Par	Parfait	Perf	Déponent	Dep				
Verbe	VER	Locatif	Loc	Pluriel	Plur	Neutre	Neut			Participe	Par	Parfait	Perf	Déponent	Dep				
Adjectif Adverbial Multi	ADJadv.mul																		
Adverbe Interrogatif	ADVint																		
	ADVint.neg																		
	ADVneg																		
	ADVrel																		
	CONcoo																		
	CONsub																		
	INJ																		
	PRE																		
	VERaux																		
Verbe	VER	Nominatif	Nom	Singulier	Sing	Commun	Com			Participe	Par	Parfait	Perf	SemiDéponent	SemDep				
Verbe	VER	Vocatif	Voc	Singulier	Sing	Commun	Com			Participe	Par	Parfait	Perf	SemiDéponent	SemDep				
Verbe	VER	Accusatif	Acc	Singulier	Sing	Commun	Com			Participe	Par	Parfait	Perf	SemiDéponent	SemDep				
Verbe	VER	Génitif	Gen	Singulier	Sing	Commun	Com			Participe	Par	Parfait	Perf	SemiDéponent	SemDep				
Verbe	VER	Datif	Dat	Singulier	Sing	Commun	Com			Participe	Par	Parfait	Perf	SemiDéponent	SemDep				
Verbe	VER	Ablatif	Abl	Singulier	Sing	Commun	Com			Participe	Par	Parfait	Perf	SemiDéponent	SemDep				
Verbe	VER	Locatif	Loc	Singulier	Sing	Commun	Com			Participe	Par	Parfait	Perf	SemiDéponent	SemDep				
Verbe	VER	Nominatif	Nom	Pluriel	Plur	Commun	Com			Participe	Par	Parfait	Perf	SemiDéponent	SemDep				
Verbe	VER	Vocatif	Voc	Pluriel	Plur	Commun	Com			Participe	Par	Parfait	Perf	SemiDéponent	SemDep				
Verbe	VER	Accusatif	Acc	Pluriel	Plur	Commun	Com			Participe	Par	Parfait	Perf	SemiDéponent	SemDep				
Verbe	VER	Génitif	Gen	Pluriel	Plur	Commun	Com			Participe	Par	Parfait	Perf	SemiDéponent	SemDep				
Verbe	VER	Datif	Dat	Pluriel	Plur	Commun	Com			Participe	Par	Parfait	Perf	SemiDéponent	SemDep				
Verbe	VER	Ablatif	Abl	Pluriel	Plur	Commun	Com			Participe	Par	Parfait	Perf	SemiDéponent	SemDep				
Verbe	VER	Locatif	Loc	Pluriel	Plur	Commun	Com			Participe	Par	Parfait	Perf	SemiDéponent	SemDep				
Verbe	VER	Nominatif	Nom	Singulier	Sing	Féminin	Fem			Participe	Par	Parfait	Perf	SemiDéponent	SemDep				
Verbe	VER	Vocatif	Voc	Singulier	Sing	Féminin	Fem			Participe	Par	Parfait	Perf	SemiDéponent	SemDep				
Verbe	VER	Accusatif	Acc	Singulier	Sing	Féminin	Fem			Participe	Par	Parfait	Perf	SemiDéponent	SemDep				
Verbe	VER	Génitif	Gen	Singulier	Sing	Féminin	Fem			Participe	Par	Parfait	Perf	SemiDéponent	SemDep				
Verbe	VER	Datif	Dat	Singulier	Sing	Féminin	Fem			Participe	Par	Parfait	Perf	SemiDéponent	SemDep				
Verbe	VER	Ablatif	Abl	Singulier	Sing	Féminin	Fem			Participe	Par	Parfait	Perf	SemiDéponent	SemDep				
Verbe	VER	Locatif	Loc	Singulier	Sing	Féminin	Fem			Participe	Par	Parfait	Perf	SemiDéponent	SemDep				
Verbe	VER	Nominatif	Nom	Pluriel	Plur	Féminin	Fem			Participe	Par	Parfait	Perf	SemiDéponent	SemDep				
Verbe	VER	Vocatif	Voc	Pluriel	Plur	Féminin	Fem			Participe	Par	Parfait	Perf	SemiDéponent	SemDep				
Verbe	VER	Accusatif	Acc	Pluriel	Plur	Féminin	Fem			Participe	Par	Parfait	Perf	SemiDéponent	SemDep				
Verbe	VER	Génitif	Gen	Pluriel	Plur	Féminin	Fem			Participe	Par	Parfait	Perf	SemiDéponent	SemDep				
Verbe	VER	Datif	Dat	Pluriel	Plur	Féminin	Fem			Participe	Par	Parfait	Perf	SemiDéponent	SemDep				
Verbe	VER	Ablatif	Abl	Pluriel	Plur	Féminin	Fem			Participe	Par	Parfait	Perf	SemiDéponent	SemDep				
Verbe	VER	Locatif	Loc	Pluriel	Plur	Féminin	Fem			Participe	Par	Parfait	Perf	SemiDéponent	SemDep				
Verbe	VER	Nominatif	Nom	Singulier	Sing	Masculin Féminin	MascFem			Participe	Par	Parfait	Perf	SemiDéponent	SemDep				
Verbe	VER	Vocatif	Voc	Singulier	Sing	Masculin Féminin	MascFem			Participe	Par	Parfait	Perf	SemiDéponent	SemDep				
Verbe	VER	Accusatif	Acc	Singulier	Sing	Masculin Féminin	MascFem			Participe	Par	Parfait	Perf	SemiDéponent	SemDep				
Verbe	VER	Génitif	Gen	Singulier	Sing	Masculin Féminin	MascFem			Participe	Par	Parfait	Perf	SemiDéponent	SemDep				
Verbe	VER	Datif	Dat	Singulier	Sing	Masculin Féminin	MascFem			Participe	Par	Parfait	Perf	SemiDéponent	SemDep				
Verbe	VER	Ablatif	Abl	Singulier	Sing	Masculin Féminin	MascFem			Participe	Par	Parfait	Perf	SemiDéponent	SemDep				
Verbe	VER	Locatif	Loc	Singulier	Sing	Masculin Féminin	MascFem			Participe	Par	Parfait	Perf	SemiDéponent	SemDep				
Verbe	VER	Nominatif	Nom	Pluriel	Plur	Masculin Féminin	MascFem			Participe	Par	Parfait	Perf	SemiDéponent	SemDep				
Verbe	VER	Vocatif	Voc	Pluriel	Plur	Masculin Féminin	MascFem			Participe	Par	Parfait	Perf	SemiDéponent	SemDep				
Verbe	VER	Accusatif	Acc	Pluriel	Plur	Masculin Féminin	MascFem			Participe	Par	Parfait	Perf	SemiDéponent	SemDep				
Verbe	VER	Génitif	Gen	Pluriel	Plur	Masculin Féminin	MascFem			Participe	Par	Parfait	Perf	SemiDéponent	SemDep				
Verbe	VER	Datif	Dat	Pluriel	Plur	Masculin Féminin	MascFem			Participe	Par	Parfait	Perf	SemiDéponent	SemDep				
Verbe	VER	Ablatif	Abl	Pluriel	Plur	Masculin Féminin	MascFem			Participe	Par	Parfait	Perf	SemiDéponent	SemDep				
Verbe	VER	Locatif	Loc	Pluriel	Plur	Masculin Féminin	MascFem			Participe	Par	Parfait	Perf	SemiDéponent	SemDep				
Verbe	VER	Nominatif	Nom	Singulier	Sing	Masculin	Masc			Participe	Par	Parfait	Perf	SemiDéponent	SemDep				
Verbe	VER	Vocatif	Voc	Singulier	Sing	Masculin	Masc			Participe	Par	Parfait	Perf	SemiDéponent	SemDep				
Verbe	VER	Accusatif	Acc	Singulier	Sing	Masculin	Masc			Participe	Par	Parfait	Perf	SemiDéponent	SemDep				
Verbe	VER	Génitif	Gen	Singulier	Sing	Masculin	Masc			Participe	Par	Parfait	Perf	SemiDéponent	SemDep				
Verbe	VER	Datif	Dat	Singulier	Sing	Masculin	Masc			Participe	Par	Parfait	Perf	SemiDéponent	SemDep				
Verbe	VER	Ablatif	Abl	Singulier	Sing	Masculin	Masc			Participe	Par	Parfait	Perf	SemiDéponent	SemDep				
Verbe	VER	Locatif	Loc	Singulier	Sing	Masculin	Masc			Participe	Par	Parfait	Perf	SemiDéponent	SemDep				
Verbe	VER	Nominatif	Nom	Pluriel	Plur	Masculin	Masc			Participe	Par	Parfait	Perf	SemiDéponent	SemDep				
Verbe	VER	Vocatif	Voc	Pluriel	Plur	Masculin	Masc			Participe	Par	Parfait	Perf	SemiDéponent	SemDep				
Verbe	VER	Accusatif	Acc	Pluriel	Plur	Masculin	Masc			Participe	Par	Parfait	Perf	SemiDéponent	SemDep				
Verbe	VER	Génitif	Gen	Pluriel	Plur	Masculin	Masc			Participe	Par	Parfait	Perf	SemiDéponent	SemDep				
Verbe	VER	Datif	Dat	Pluriel	Plur	Masculin	Masc			Participe	Par	Parfait	Perf	SemiDéponent	SemDep				
Verbe	VER	Ablatif	Abl	Pluriel	Plur	Masculin	Masc			Participe	Par	Parfait	Perf	SemiDéponent	SemDep				
Verbe	VER	Locatif	Loc	Pluriel	Plur	Masculin	Masc			Participe	Par	Parfait	Perf	SemiDéponent	SemDep				
Verbe	VER	Nominatif	Nom	Singulier	Sing	Masculin Neutre	MascNeut			Participe	Par	Parfait	Perf	SemiDéponent	SemDep				
Verbe	VER	Vocatif	Voc	Singulier	Sing	Masculin Neutre	MascNeut			Participe	Par	Parfait	Perf	SemiDéponent	SemDep				
Verbe	VER	Accusatif	Acc	Singulier	Sing	Masculin Neutre	MascNeut			Participe	Par	Parfait	Perf	SemiDéponent	SemDep				
Verbe	VER	Génitif	Gen	Singulier	Sing	Masculin Neutre	MascNeut			Participe	Par	Parfait	Perf	SemiDéponent	SemDep				
Verbe	VER	Datif	Dat	Singulier	Sing	Masculin Neutre	MascNeut			Participe	Par	Parfait	Perf	SemiDéponent	SemDep				
Verbe	VER	Ablatif	Abl	Singulier	Sing	Masculin Neutre	MascNeut			Participe	Par	Parfait	Perf	SemiDéponent	SemDep				
Verbe	VER	Locatif	Loc	Singulier	Sing	Masculin Neutre	MascNeut			Participe	Par	Parfait	Perf	SemiDéponent	SemDep				
Verbe	VER	Nominatif	Nom	Pluriel	Plur	Masculin Neutre	MascNeut			Participe	Par	Parfait	Perf	SemiDéponent	SemDep				
Verbe	VER	Vocatif	Voc	Pluriel	Plur	Masculin Neutre	MascNeut			Participe	Par	Parfait	Perf	SemiDéponent	SemDep				
Verbe	VER	Accusatif	Acc	Pluriel	Plur	Masculin Neutre	MascNeut			Participe	Par	Parfait	Perf	SemiDéponent	SemDep				
Verbe	VER	Génitif	Gen	Pluriel	Plur	Masculin Neutre	MascNeut			Participe	Par	Parfait	Perf	SemiDéponent	SemDep				
Verbe	VER	Datif	Dat	Pluriel	Plur	Masculin Neutre	MascNeut			Participe	Par	Parfait	Perf	SemiDéponent	SemDep				
Verbe	VER	Ablatif	Abl	Pluriel	Plur	Masculin Neutre	MascNeut			Participe	Par	Parfait	Perf	SemiDéponent	SemDep				
Verbe	VER	Locatif	Loc	Pluriel	Plur	Masculin Neutre	MascNeut			Participe	Par	Parfait	Perf	SemiDéponent	SemDep				
Verbe	VER	Nominatif	Nom	Singulier	Sing	Neutre	Neut			Participe	Par	Parfait	Perf	SemiDéponent	SemDep				
Verbe	VER	Vocatif	Voc	Singulier	Sing	Neutre	Neut			Participe	Par	Parfait	Perf	SemiDéponent	SemDep				
Verbe	VER	Accusatif	Acc	Singulier	Sing	Neutre	Neut			Participe	Par	Parfait	Perf	SemiDéponent	SemDep				
Verbe	VER	Génitif	Gen	Singulier	Sing	Neutre	Neut			Participe	Par	Parfait	Perf	SemiDéponent	SemDep				
Verbe	VER	Datif	Dat	Singulier	Sing	Neutre	Neut			Participe	Par	Parfait	Perf	SemiDéponent	SemDep				
Verbe	VER	Ablatif	Abl	Singulier	Sing	Neutre	Neut			Participe	Par	Parfait	Perf	SemiDéponent	SemDep				
Verbe	VER	Locatif	Loc	Singulier	Sing	Neutre	Neut			Participe	Par	Parfait	Perf	SemiDéponent	SemDep				
Verbe	VER	Nominatif	Nom	Pluriel	Plur	Neutre	Neut			Participe	Par	Parfait	Perf	SemiDéponent	SemDep				
Verbe	VER	Vocatif	Voc	Pluriel	Plur	Neutre	Neut			Participe	Par	Parfait	Perf	SemiDéponent	SemDep				
Verbe	VER	Accusatif	Acc	Pluriel	Plur	Neutre	Neut			Participe	Par	Parfait	Perf	SemiDéponent	SemDep				
Verbe	VER	Génitif	Gen	Pluriel	Plur	Neutre	Neut			Participe	Par	Parfait	Perf	SemiDéponent	SemDep				
Verbe	VER	Datif	Dat	Pluriel	Plur	Neutre	Neut			Participe	Par	Parfait	Perf	SemiDéponent	SemDep				
Verbe	VER	Ablatif	Abl	Pluriel	Plur	Neutre	Neut			Participe	Par	Parfait	Perf	SemiDéponent	SemDep				
Verbe	VER	Locatif	Loc	Pluriel	Plur	Neutre	Neut			Participe	Par	Parfait	Perf	SemiDéponent	SemDep				
Verbe	VER	Nominatif	Nom	Singulier	Sing	Commun	Com			Participe	Par	Présent	Pres	SemiDéponent	SemDep				
Verbe	VER	Vocatif	Voc	Singulier	Sing	Commun	Com			Participe	Par	Présent	Pres	SemiDéponent	SemDep				
Verbe	VER	Accusatif	Acc	Singulier	Sing	Commun	Com			Participe	Par	Présent	Pres	SemiDéponent	SemDep				
Verbe	VER	Génitif	Gen	Singulier	Sing	Commun	Com			Participe	Par	Présent	Pres	SemiDéponent	SemDep				
Verbe	VER	Datif	Dat	Singulier	Sing	Commun	Com			Participe	Par	Présent	Pres	SemiDéponent	SemDep				
Verbe	VER	Ablatif	Abl	Singulier	Sing	Commun	Com			Participe	Par	Présent	Pres	SemiDéponent	SemDep				
Verbe	VER	Locatif	Loc	Singulier	Sing	Commun	Com			Participe	Par	Présent	Pres	SemiDéponent	SemDep				
Verbe	VER	Nominatif	Nom	Pluriel	Plur	Commun	Com			Participe	Par	Présent	Pres	SemiDéponent	SemDep				
Verbe	VER	Vocatif	Voc	Pluriel	Plur	Commun	Com			Participe	Par	Présent	Pres	SemiDéponent	SemDep				
Verbe	VER	Accusatif	Acc	Pluriel	Plur	Commun	Com			Participe	Par	Présent	Pres	SemiDéponent	SemDep				
Verbe	VER	Génitif	Gen	Pluriel	Plur	Commun	Com			Participe	Par	Présent	Pres	SemiDéponent	SemDep				
Verbe	VER	Datif	Dat	Pluriel	Plur	Commun	Com			Participe	Par	Présent	Pres	SemiDéponent	SemDep				
Verbe	VER	Ablatif	Abl	Pluriel	Plur	Commun	Com			Participe	Par	Présent	Pres	SemiDéponent	SemDep				
Verbe	VER	Locatif	Loc	Pluriel	Plur	Commun	Com			Participe	Par	Présent	Pres	SemiDéponent	SemDep				
Verbe	VER	Nominatif	Nom	Singulier	Sing	Féminin	Fem			Participe	Par	Présent	Pres	SemiDéponent	SemDep				
Verbe	VER	Vocatif	Voc	Singulier	Sing	Féminin	Fem			Participe	Par	Présent	Pres	SemiDéponent	SemDep				
Verbe	VER	Accusatif	Acc	Singulier	Sing	Féminin	Fem			Participe	Par	Présent	Pres	SemiDéponent	SemDep				
Verbe	VER	Génitif	Gen	Singulier	Sing	Féminin	Fem			Participe	Par	Présent	Pres	SemiDéponent	SemDep				
Verbe	VER	Datif	Dat	Singulier	Sing	Féminin	Fem			Participe	Par	Présent	Pres	SemiDéponent	SemDep				
Verbe	VER	Ablatif	Abl	Singulier	Sing	Féminin	Fem			Participe	Par	Présent	Pres	SemiDéponent	SemDep				
Verbe	VER	Locatif	Loc	Singulier	Sing	Féminin	Fem			Participe	Par	Présent	Pres	SemiDéponent	SemDep				
Verbe	VER	Nominatif	Nom	Pluriel	Plur	Féminin	Fem			Participe	Par	Présent	Pres	SemiDéponent	SemDep				
Verbe	VER	Vocatif	Voc	Pluriel	Plur	Féminin	Fem			Participe	Par	Présent	Pres	SemiDéponent	SemDep				
Verbe	VER	Accusatif	Acc	Pluriel	Plur	Féminin	Fem			Participe	Par	Présent	Pres	SemiDéponent	SemDep				
Verbe	VER	Génitif	Gen	Pluriel	Plur	Féminin	Fem			Participe	Par	Présent	Pres	SemiDéponent	SemDep				
Verbe	VER	Datif	Dat	Pluriel	Plur	Féminin	Fem			Participe	Par	Présent	Pres	SemiDéponent	SemDep				
Verbe	VER	Ablatif	Abl	Pluriel	Plur	Féminin	Fem			Participe	Par	Présent	Pres	SemiDéponent	SemDep				
Verbe	VER	Locatif	Loc	Pluriel	Plur	Féminin	Fem			Participe	Par	Présent	Pres	SemiDéponent	SemDep				
Verbe	VER	Nominatif	Nom	Singulier	Sing	Masculin Féminin	MascFem			Participe	Par	Présent	Pres	SemiDéponent	SemDep				
Verbe	VER	Vocatif	Voc	Singulier	Sing	Masculin Féminin	MascFem			Participe	Par	Présent	Pres	SemiDéponent	SemDep				
Verbe	VER	Accusatif	Acc	Singulier	Sing	Masculin Féminin	MascFem			Participe	Par	Présent	Pres	SemiDéponent	SemDep				
Verbe	VER	Génitif	Gen	Singulier	Sing	Masculin Féminin	MascFem			Participe	Par	Présent	Pres	SemiDéponent	SemDep				
Verbe	VER	Datif	Dat	Singulier	Sing	Masculin Féminin	MascFem			Participe	Par	Présent	Pres	SemiDéponent	SemDep				
Verbe	VER	Ablatif	Abl	Singulier	Sing	Masculin Féminin	MascFem			Participe	Par	Présent	Pres	SemiDéponent	SemDep				
Verbe	VER	Locatif	Loc	Singulier	Sing	Masculin Féminin	MascFem			Participe	Par	Présent	Pres	SemiDéponent	SemDep				
Verbe	VER	Nominatif	Nom	Pluriel	Plur	Masculin Féminin	MascFem			Participe	Par	Présent	Pres	SemiDéponent	SemDep				
Verbe	VER	Vocatif	Voc	Pluriel	Plur	Masculin Féminin	MascFem			Participe	Par	Présent	Pres	SemiDéponent	SemDep				
Verbe	VER	Accusatif	Acc	Pluriel	Plur	Masculin Féminin	MascFem			Participe	Par	Présent	Pres	SemiDéponent	SemDep				
Verbe	VER	Génitif	Gen	Pluriel	Plur	Masculin Féminin	MascFem			Participe	Par	Présent	Pres	SemiDéponent	SemDep				
Verbe	VER	Datif	Dat	Pluriel	Plur	Masculin Féminin	MascFem			Participe	Par	Présent	Pres	SemiDéponent	SemDep				
Verbe	VER	Ablatif	Abl	Pluriel	Plur	Masculin Féminin	MascFem			Participe	Par	Présent	Pres	SemiDéponent	SemDep				
Verbe	VER	Locatif	Loc	Pluriel	Plur	Masculin Féminin	MascFem			Participe	Par	Présent	Pres	SemiDéponent	SemDep				
Verbe	VER	Nominatif	Nom	Singulier	Sing	Masculin	Masc			Participe	Par	Présent	Pres	SemiDéponent	SemDep				
Verbe	VER	Vocatif	Voc	Singulier	Sing	Masculin	Masc			Participe	Par	Présent	Pres	SemiDéponent	SemDep				
Verbe	VER	Accusatif	Acc	Singulier	Sing	Masculin	Masc			Participe	Par	Présent	Pres	SemiDéponent	SemDep				
Verbe	VER	Génitif	Gen	Singulier	Sing	Masculin	Masc			Participe	Par	Présent	Pres	SemiDéponent	SemDep				
Verbe	VER	Datif	Dat	Singulier	Sing	Masculin	Masc			Participe	Par	Présent	Pres	SemiDéponent	SemDep				
Verbe	VER	Ablatif	Abl	Singulier	Sing	Masculin	Masc			Participe	Par	Présent	Pres	SemiDéponent	SemDep				
Verbe	VER	Locatif	Loc	Singulier	Sing	Masculin	Masc			Participe	Par	Présent	Pres	SemiDéponent	SemDep				
Verbe	VER	Nominatif	Nom	Pluriel	Plur	Masculin	Masc			Participe	Par	Présent	Pres	SemiDéponent	SemDep				
Verbe	VER	Vocatif	Voc	Pluriel	Plur	Masculin	Masc			Participe	Par	Présent	Pres	SemiDéponent	SemDep				
Verbe	VER	Accusatif	Acc	Pluriel	Plur	Masculin	Masc			Participe	Par	Présent	Pres	SemiDéponent	SemDep				
Verbe	VER	Génitif	Gen	Pluriel	Plur	Masculin	Masc			Participe	Par	Présent	Pres	SemiDéponent	SemDep				
Verbe	VER	Datif	Dat	Pluriel	Plur	Masculin	Masc			Participe	Par	Présent	Pres	SemiDéponent	SemDep				
Verbe	VER	Ablatif	Abl	Pluriel	Plur	Masculin	Masc			Participe	Par	Présent	Pres	SemiDéponent	SemDep				
Verbe	VER	Locatif	Loc	Pluriel	Plur	Masculin	Masc			Participe	Par	Présent	Pres	SemiDéponent	SemDep				
Verbe	VER	Nominatif	Nom	Singulier	Sing	Masculin Neutre	MascNeut			Participe	Par	Présent	Pres	SemiDéponent	SemDep				
Verbe	VER	Vocatif	Voc	Singulier	Sing	Masculin Neutre	MascNeut			Participe	Par	Présent	Pres	SemiDéponent	SemDep				
Verbe	VER	Accusatif	Acc	Singulier	Sing	Masculin Neutre	MascNeut			Participe	Par	Présent	Pres	SemiDéponent	SemDep				
Verbe	VER	Génitif	Gen	Singulier	Sing	Masculin Neutre	MascNeut			Participe	Par	Présent	Pres	SemiDéponent	SemDep				
Verbe	VER	Datif	Dat	Singulier	Sing	Masculin Neutre	MascNeut			Participe	Par	Présent	Pres	SemiDéponent	SemDep				
